in s,C1 in V
-3.8001568E+00,5.32105E-01
-3.7997893E+00,5.45777E-01
-3.7994218E+00,5.47730E-01
-3.7990542E+00,5.33082E-01
-3.7986867E+00,5.20387E-01
-3.7983192E+00,5.02809E-01
-3.7979517E+00,5.04762E-01
-3.7975842E+00,5.08668E-01
-3.7972166E+00,5.27223E-01
-3.7968491E+00,5.35035E-01
-3.7964816E+00,5.40895E-01
-3.7961141E+00,5.40895E-01
-3.7957466E+00,5.26246E-01
-3.7953790E+00,5.10621E-01
-3.7950115E+00,5.01832E-01
-3.7946440E+00,5.05738E-01
-3.7942765E+00,5.15504E-01
-3.7939090E+00,5.32105E-01
-3.7935414E+00,5.40895E-01
-3.7931739E+00,5.44801E-01
-3.7928064E+00,5.38941E-01
-3.7924389E+00,5.21363E-01
-3.7920714E+00,5.08668E-01
-3.7917038E+00,5.07691E-01
-3.7913363E+00,5.13551E-01
-3.7909688E+00,5.24293E-01
-3.7906013E+00,5.36012E-01
-3.7902338E+00,5.43824E-01
-3.7898662E+00,5.43824E-01
-3.7894987E+00,5.32105E-01
-3.7891312E+00,5.19410E-01
-3.7887637E+00,5.06715E-01
-3.7883962E+00,5.03785E-01
-3.7880286E+00,5.14527E-01
-3.7876611E+00,5.25270E-01
-3.7872936E+00,5.36012E-01
-3.7869261E+00,5.39918E-01
-3.7865586E+00,5.37965E-01
-3.7861910E+00,5.25270E-01
-3.7858235E+00,5.07691E-01
-3.7854560E+00,5.02809E-01
-3.7850885E+00,5.09645E-01
-3.7847210E+00,5.19410E-01
-3.7843534E+00,5.29176E-01
-3.7839859E+00,5.40895E-01
-3.7836184E+00,5.45777E-01
-3.7832509E+00,5.36988E-01
-3.7828834E+00,5.19410E-01
-3.7825158E+00,5.09645E-01
-3.7821483E+00,5.06715E-01
-3.7817808E+00,5.14527E-01
-3.7814133E+00,5.25270E-01
-3.7810458E+00,5.38941E-01
-3.7806782E+00,5.45777E-01
-3.7803107E+00,5.42848E-01
-3.7799432E+00,5.28199E-01
-3.7795757E+00,5.14527E-01
-3.7792082E+00,5.03785E-01
-3.7788406E+00,5.05738E-01
-3.7784731E+00,5.14527E-01
-3.7781056E+00,5.25270E-01
-3.7777381E+00,5.38941E-01
-3.7773706E+00,5.41871E-01
-3.7770030E+00,5.34059E-01
-3.7766355E+00,5.17457E-01
-3.7762680E+00,5.06715E-01
-3.7759005E+00,5.05738E-01
-3.7755330E+00,5.09645E-01
-3.7751654E+00,5.18434E-01
-3.7747979E+00,5.32105E-01
-3.7744304E+00,5.44801E-01
-3.7740629E+00,5.44801E-01
-3.7736954E+00,5.33082E-01
-3.7733278E+00,5.20387E-01
-3.7729603E+00,5.06715E-01
-3.7725928E+00,5.04762E-01
-3.7722253E+00,5.17457E-01
-3.7718578E+00,5.27223E-01
-3.7714902E+00,5.39918E-01
-3.7711227E+00,5.43824E-01
-3.7707552E+00,5.42848E-01
-3.7703877E+00,5.29176E-01
-3.7700202E+00,5.09645E-01
-3.7696526E+00,5.00855E-01
-3.7692851E+00,5.06715E-01
-3.7689176E+00,5.16480E-01
-3.7685501E+00,5.26246E-01
-3.7681826E+00,5.36988E-01
-3.7678150E+00,5.39918E-01
-3.7674475E+00,5.29176E-01
-3.7670800E+00,5.16480E-01
-3.7667125E+00,5.04762E-01
-3.7663450E+00,5.07691E-01
-3.7659774E+00,5.13551E-01
-3.7656099E+00,5.24293E-01
-3.7652424E+00,5.36012E-01
-3.7648749E+00,5.42848E-01
-3.7645074E+00,5.43824E-01
-3.7641398E+00,5.34059E-01
-3.7637723E+00,5.15504E-01
-3.7634048E+00,5.06715E-01
-3.7630373E+00,5.06715E-01
-3.7626698E+00,5.19410E-01
-3.7623022E+00,5.29176E-01
-3.7619347E+00,5.42848E-01
-3.7615672E+00,5.47730E-01
-3.7611997E+00,5.38941E-01
-3.7608322E+00,5.25270E-01
-3.7604646E+00,5.10621E-01
-3.7600971E+00,4.99879E-01
-3.7597296E+00,5.07691E-01
-3.7593621E+00,5.18434E-01
-3.7589946E+00,5.34059E-01
-3.7586270E+00,5.39918E-01
-3.7582595E+00,5.38941E-01
-3.7578920E+00,5.28199E-01
-3.7575245E+00,5.18434E-01
-3.7571570E+00,5.03785E-01
-3.7567894E+00,5.03785E-01
-3.7564219E+00,5.13551E-01
-3.7560544E+00,5.24293E-01
-3.7556869E+00,5.35035E-01
-3.7553194E+00,5.41871E-01
-3.7549518E+00,5.39918E-01
-3.7545843E+00,5.28199E-01
-3.7542168E+00,5.14527E-01
-3.7538493E+00,5.04762E-01
-3.7534818E+00,5.08668E-01
-3.7531142E+00,5.17457E-01
-3.7527467E+00,5.29176E-01
-3.7523792E+00,5.38941E-01
-3.7520117E+00,5.46754E-01
-3.7516442E+00,5.38941E-01
-3.7512766E+00,5.25270E-01
-3.7509091E+00,5.06715E-01
-3.7505416E+00,5.02809E-01
-3.7501741E+00,5.07691E-01
-3.7498066E+00,5.19410E-01
-3.7494390E+00,5.32105E-01
-3.7490715E+00,5.40895E-01
-3.7487040E+00,5.40895E-01
-3.7483365E+00,5.28199E-01
-3.7479690E+00,5.13551E-01
-3.7476014E+00,5.01832E-01
-3.7472339E+00,5.02809E-01
-3.7468664E+00,5.16480E-01
-3.7464989E+00,5.27223E-01
-3.7461314E+00,5.38941E-01
-3.7457638E+00,5.46754E-01
-3.7453963E+00,5.39918E-01
-3.7450288E+00,5.28199E-01
-3.7446613E+00,5.10621E-01
-3.7442938E+00,5.07691E-01
-3.7439262E+00,5.14527E-01
-3.7435587E+00,5.22340E-01
-3.7431912E+00,5.30152E-01
-3.7428237E+00,5.39918E-01
-3.7424562E+00,5.44801E-01
-3.7420886E+00,5.38941E-01
-3.7417211E+00,5.18434E-01
-3.7413536E+00,5.08668E-01
-3.7409861E+00,5.01832E-01
-3.7406186E+00,5.11598E-01
-3.7402510E+00,5.24293E-01
-3.7398835E+00,5.36012E-01
-3.7395160E+00,5.40895E-01
-3.7391485E+00,5.38941E-01
-3.7387810E+00,5.25270E-01
-3.7384134E+00,5.08668E-01
-3.7380459E+00,5.02809E-01
-3.7376784E+00,5.03785E-01
-3.7373109E+00,5.16480E-01
-3.7369434E+00,5.29176E-01
-3.7365758E+00,5.38941E-01
-3.7362083E+00,5.47730E-01
-3.7358408E+00,5.42848E-01
-3.7354733E+00,5.30152E-01
-3.7351058E+00,5.07691E-01
-3.7347382E+00,5.05738E-01
-3.7343707E+00,5.11598E-01
-3.7340032E+00,5.25270E-01
-3.7336357E+00,5.36012E-01
-3.7332682E+00,5.43824E-01
-3.7329006E+00,5.44801E-01
-3.7325331E+00,5.35035E-01
-3.7321656E+00,5.16480E-01
-3.7317981E+00,5.03785E-01
-3.7314306E+00,5.03785E-01
-3.7310630E+00,5.13551E-01
-3.7306955E+00,5.25270E-01
-3.7303280E+00,5.38941E-01
